,ROAC,ROAA,ROAB,TRA,TAGR,DR,WKTA,CTA,CLA,CFOA,CLCA,NITA
1524,0.482425778774436,0.548626253815962,0.537341399432518,0.0,0.0001045564212537,0.135562475436104,0.820747659761777,0.0246231075378452,0.107993171519763,0.511523128736378,0.0279004194537757,0.799580043209673
2819,0.49524691658948,0.562091146969036,0.543551581990471,0.196578601072983,6320000000.0,0.129274117967168,0.789403256517173,0.0835505000865293,0.104472026606806,0.583507372304813,0.034083793746795,0.813846855428821
1957,0.534149076195583,0.585586567815089,0.580544997055517,0.132199615345683,7130000000.0,0.1065997520936,0.827980079738929,0.103419487715706,0.108780745513206,0.581617090657161,0.0268169446788821,0.824948591854673
5020,0.572661239214157,0.615787178368949,0.603886717704374,0.263893106589736,7620000000.0,0.0397859539861535,0.805296224102251,0.162070817562061,0.0244074032221343,0.601384598459459,0.0137268149398607,0.842505893486519
4443,0.507483059523229,0.573648059310946,0.558702285989614,0.128049397712319,7460000000.0,0.127157843818968,0.834535046094811,0.0711088899504648,0.0918140356714776,0.590775663517073,0.0237865115543245,0.817357305401757
1941,0.514113001511237,0.553150894025294,0.563681139247283,0.0,8160000000.0,0.146778728421562,0.770705587603268,0.05577568790294,0.110515127014045,0.62807095502568,0.0401219632810656,0.806610246850767
4220,0.537366548042705,0.595126471870911,0.592269393436479,0.007186962243142,9160000000.0,0.106025334824803,0.831322843379346,0.166337182588898,0.0580618520633105,0.553575699122263,0.0188019657644857,0.827787364682173
1892,0.452883537269049,0.511120802442215,0.502328818459232,0.0,5330000000.0,0.148260120325302,0.859612991963671,0.189258882231822,0.131913647888109,0.645459110224881,0.025000682469159,0.779291084728752
6378,0.447131087602983,0.506487134757959,0.49376304941378,0.0,5840000000.0,0.212443691991414,0.791108301437839,0.0798383385367011,0.218724882758189,0.540296446220945,0.0400089686465129,0.775732341386428
1398,0.485594501048116,0.559310946358482,0.548423363135071,0.0,0.0001042908658084,0.0895788614445083,0.769741649499486,0.012430261533225,0.0070706562354422,0.565435166029695,0.0122971195549016,0.809760806381019
4318,0.441281138790036,0.477976450065416,0.484876064029124,0.0,5080000000.0,0.121111346252683,0.82034806188808,0.117096408469364,0.115195605306179,0.546716828925278,0.0287261406805641,0.761567352497879
5617,0.52927411885146,0.530963802878325,0.571711547727394,0.0,6160000000.0,0.0595580010279046,0.811722148113291,0.0103309406381163,0.0342348677934104,0.603432201793688,0.0160438930232852,0.794081286100392
6092,0.542144006239945,0.596053205407763,0.585042025804379,0.213786820528394,6920000000.0,0.0783323759712187,0.848967005824289,0.286493303429929,0.0811893489710874,0.644128576523772,0.0203968545371105,0.833186682923147
6084,0.51659922975674,0.572503270824248,0.568071095883077,0.13351553800992,8190000000.0,0.0813253922665296,0.856655279551182,0.187329858179382,0.0686751609651406,0.578767211767731,0.017587568274979,0.817761011139832
4963,0.511773021986058,0.581334496293066,0.562503346003533,0.0436278975604818,0.0001298405185045,0.193306527194123,0.786542543167854,0.0243993842347313,0.0492633235250428,0.56886464851294,0.0265495434224902,0.815713356389922
2892,0.539024033539707,0.590819886611426,0.590127951175116,0.13999392651078,7250000000.0,0.11361368927049,0.796864496034997,0.100072469128989,0.0484384082344091,0.646192597956851,0.0232927487607486,0.82665537612454
3453,0.594062301954858,0.632032272132577,0.652283312811178,0.0665047069541451,7780000000.0,0.0535115034616198,0.81398905746813,0.193805518085749,0.0350584103013578,0.688245186052189,0.015904266880644,0.85078174035641
6184,0.538682786525618,0.590492804186655,0.577707586059211,0.242737119141614,7400000000.0,0.0802672551924298,0.814147854879929,0.0875725339769378,0.0629793303540574,0.608988953824885,0.0226086304712271,0.828881221062357
6671,0.491541949007946,0.551133885739206,0.540607098881096,0.141107399534366,6660000000.0,0.113583456782659,0.85175210878027,0.300309044840644,0.0968734022942618,0.587186884025288,0.0221720912463672,0.806601220232369
4488,0.574513723004924,0.642825992150022,0.627014294127095,0.0898876404494382,9150000000.0,0.103546270822626,0.894882986584756,0.400974869730938,0.109942866825682,0.647383555321941,0.0194397385529682,0.853422459310408
6374,0.475795836786428,0.540231138246838,0.525402858825419,0.364308128353072,5390000000.0,0.198536747588959,0.856508090656767,0.260262475273157,0.149137333123644,0.677345531771776,0.0268290784756903,0.796714009225843
